date,minimum_temperature_(celsius),maximum_temperature_(celsius),rainfall_(mm),evaporation_(mm),sunshine_(hours),direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_(km/h),time_of_maximum_wind_gust,9am_temperature_(celsius),9am_relative humidity_(percentage),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_temperature_(celsius),3pm_relative_humidity_(percentage),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
23/04/2023,14.8,19.0,0.0,1.6,3.0,SSW,26.0,15:45:00,16.7,79.0,7.0,SSE,7.0,1034.4,17.8,71.0,5.0,SSW,13.0,1032.4
24/04/2023,11.0,24.9,0.0,2.6,10.0,N,39.0,10:34:00,14.3,87.0,1.0,NE,9.0,1032.5,24.4,47.0,1.0,N,15.0,1028.4
25/04/2023,12.7,25.9,0.0,4.0,8.8,NNW,26.0,10:33:00,16.6,73.0,1.0,NNE,7.0,1029.3,25.5,38.0,7.0,NNW,6.0,1025.4
26/04/2023,12.0,24.6,0.0,4.0,8.7,N,35.0,10:15:00,16.0,72.0,1.0,NNE,9.0,1025.9,24.4,43.0,6.0,N,19.0,1021.0
27/04/2023,16.0,22.6,0.0,6.0,5.2,NNW,54.0,13:52:00,19.3,51.0,7.0,NNW,24.0,1017.1,22.3,50.0,1.0,N,26.0,1012.4
28/04/2023,16.3,21.6,1.2,6.0,4.8,N,41.0,02:17:00,18.9,59.0,6.0,NNW,15.0,1010.7,15.3,75.0,7.0,SSW,11.0,1011.0
29/04/2023,9.0,15.9,5.2,2.0,9.0,S,20.0,12:44:00,11.5,70.0,2.0,NW,6.0,1014.9,15.7,55.0,4.0,SSW,9.0,1013.5
30/04/2023,5.0,16.3,0.2,1.8,10.2,SSW,24.0,13:14:00,8.8,80.0,1.0,NNE,6.0,1018.4,15.7,53.0,1.0,SSW,11.0,1015.8
01/05/2023,7.3,18.1,0.0,2.2,3.5,NNW,17.0,20:10:00,13.3,72.0,7.0,SSW,6.0,1016.7,17.1,54.0,7.0,NA,0.0,1013.9
02/05/2023,11.3,20.3,0.0,2.2,3.6,W,35.0,14:15:00,13.9,72.0,7.0,N,9.0,1015.4,18.4,57.0,6.0,SW,7.0,1012.7
03/05/2023,11.2,15.7,3.0,4.4,4.2,W,44.0,06:13:00,13.2,61.0,1.0,NW,13.0,1011.4,15.2,61.0,4.0,WSW,13.0,1013.3
04/05/2023,8.1,15.6,2.0,1.8,0.5,NW,19.0,23:58:00,10.7,87.0,7.0,NNE,6.0,1022.3,15.3,58.0,7.0,SW,2.0,1020.5
05/05/2023,10.4,17.9,0.0,1.6,5.2,NNW,44.0,13:11:00,12.4,62.0,3.0,N,15.0,1017.2,16.6,52.0,7.0,NNW,20.0,1013.5
06/05/2023,9.8,13.5,14.8,3.8,0.7,SSW,31.0,16:13:00,10.0,95.0,7.0,NA,0.0,1020.3,12.1,64.0,7.0,SSW,11.0,1019.8
07/05/2023,6.6,13.4,22.6,0.6,4.5,SSW,39.0,14:00:00,7.4,88.0,6.0,W,11.0,1024.4,11.2,62.0,4.0,SSW,15.0,1024.4
08/05/2023,7.4,15.2,5.8,1.6,2.5,W,28.0,12:53:00,10.0,82.0,6.0,W,6.0,1026.4,14.7,65.0,7.0,WSW,9.0,1023.9
09/05/2023,10.0,16.5,1.0,1.8,3.6,SW,33.0,16:20:00,11.3,91.0,7.0,SW,4.0,1027.3,15.5,68.0,5.0,S,13.0,1026.8
10/05/2023,11.2,15.3,1.8,0.8,0.3,SSW,22.0,10:54:00,11.5,95.0,7.0,W,6.0,1030.1,13.9,76.0,8.0,S,13.0,1028.9
11/05/2023,6.8,18.4,0.2,2.2,9.3,N,39.0,11:43:00,7.7,100.0,1.0,NE,9.0,1028.6,17.9,53.0,1.0,N,19.0,1024.8
12/05/2023,7.7,18.4,0.0,2.8,5.2,N,24.0,01:22:00,12.0,77.0,7.0,NE,4.0,1029.0,16.2,64.0,7.0,S,7.0,1028.7
13/05/2023,9.3,16.8,0.0,1.6,6.4,S,19.0,15:13:00,10.7,100.0,8.0,NA,0.0,1032.8,16.4,73.0,1.0,SSW,9.0,1029.6
14/05/2023,7.0,20.7,0.0,1.8,9.5,NNW,30.0,12:11:00,8.2,100.0,1.0,NNE,7.0,1029.9,20.4,46.0,1.0,NNW,15.0,1025.2
15/05/2023,8.2,22.1,0.0,3.8,9.5,N,33.0,12:55:00,15.6,64.0,1.0,N,15.0,1024.4,21.3,41.0,1.0,N,19.0,1020.4
16/05/2023,10.5,13.7,4.0,3.4,0.7,SSW,39.0,11:09:00,12.1,100.0,7.0,S,9.0,1022.1,13.5,62.0,7.0,S,15.0,1024.7
17/05/2023,4.7,14.8,2.6,1.6,9.2,SE,26.0,11:04:00,8.4,81.0,1.0,NNE,6.0,1028.9,14.6,45.0,3.0,SE,9.0,1026.1
18/05/2023,5.8,13.7,0.0,1.8,2.0,WSW,22.0,12:39:00,7.7,85.0,6.0,NE,2.0,1026.0,13.5,60.0,3.0,SSW,9.0,1023.3
19/05/2023,5.8,14.6,0.0,2.0,3.1,S,22.0,13:49:00,11.3,81.0,7.0,N,2.0,1020.5,14.2,75.0,7.0,SSW,9.0,1017.6
20/05/2023,8.7,15.0,2.2,0.4,2.1,NW,30.0,23:49:00,9.5,86.0,7.0,SW,7.0,1017.3,14.2,57.0,7.0,SW,11.0,1014.0
21/05/2023,9.2,14.9,1.8,1.8,2.7,S,39.0,11:23:00,11.5,96.0,7.0,WSW,9.0,1019.2,13.6,60.0,6.0,S,17.0,1023.0
22/05/2023,7.7,16.4,0.4,2.0,7.9,W,22.0,11:45:00,11.4,72.0,4.0,NE,4.0,1028.6,16.0,52.0,5.0,WSW,9.0,1026.6
23/05/2023,10.2,16.8,0.0,2.2,7.3,N,28.0,10:50:00,11.2,71.0,6.0,N,9.0,1029.2,16.2,52.0,7.0,NNW,13.0,1025.8
24/05/2023,9.6,15.9,0.0,2.4,8.0,NNW,46.0,14:24:00,10.9,72.0,1.0,N,15.0,1026.4,15.6,55.0,7.0,NNW,26.0,1021.6
25/05/2023,10.8,15.0,0.0,5.2,0.3,N,52.0,10:43:00,12.6,55.0,7.0,N,22.0,1013.1,12.7,75.0,7.0,N,13.0,1010.4
26/05/2023,7.6,14.4,2.8,0.2,4.7,W,30.0,12:55:00,10.0,70.0,1.0,NW,9.0,1019.1,13.2,63.0,7.0,W,11.0,1018.2
27/05/2023,9.8,15.8,0.6,2.4,2.5,N,31.0,11:58:00,11.5,68.0,7.0,N,13.0,1018.2,14.6,46.0,7.0,WNW,11.0,1015.7
28/05/2023,10.9,16.5,6.8,2.8,1.5,NNE,30.0,00:36:00,11.4,92.0,7.0,N,15.0,1011.5,13.7,80.0,7.0,SSW,7.0,1010.4
29/05/2023,10.0,17.0,5.4,1.0,5.7,WSW,33.0,11:31:00,12.8,72.0,4.0,NNW,13.0,1016.5,16.4,62.0,7.0,NW,9.0,1016.6
30/05/2023,12.7,18.7,0.0,4.0,2.8,NNW,31.0,14:29:00,14.0,76.0,7.0,N,11.0,1021.6,17.8,64.0,6.0,N,20.0,1018.9
31/05/2023,14.0,17.7,0.0,2.6,0.4,N,44.0,17:10:00,16.4,66.0,7.0,NNW,20.0,1016.3,17.4,63.0,7.0,NNW,17.0,1012.8
01/06/2023,12.5,14.7,1.4,2.0,5.6,NNW,33.0,02:00:00,13.5,71.0,1.0,WSW,7.0,1018.3,13.8,49.0,6.0,S,9.0,1019.8
02/06/2023,5.8,15.2,0.0,1.4,4.2,NNE,17.0,12:00:00,7.2,78.0,6.0,NE,9.0,1025.3,14.1,52.0,7.0,NNW,11.0,1022.2
03/06/2023,7.1,15.2,3.0,0.6,0.7,SSW,17.0,14:36:00,11.1,99.0,8.0,NA,0.0,1026.7,13.3,86.0,7.0,SSW,9.0,1026.5
04/06/2023,8.0,18.4,0.8,1.0,5.1,N,15.0,10:11:00,11.1,100.0,8.0,N,6.0,1031.8,17.1,71.0,7.0,SSW,6.0,1027.6
05/06/2023,9.4,20.1,0.0,1.0,4.5,N,31.0,12:20:00,11.1,97.0,7.0,NNE,6.0,1026.2,18.4,57.0,7.0,NNE,13.0,1021.8
06/06/2023,11.1,17.4,0.0,2.6,2.1,NNW,44.0,13:56:00,15.9,78.0,7.0,N,4.0,1021.7,17.1,74.0,7.0,N,15.0,1019.6
07/06/2023,13.7,18.4,0.0,2.4,0.0,N,52.0,22:13:00,16.6,81.0,7.0,NNE,13.0,1018.3,17.1,81.0,7.0,N,17.0,1013.3
08/06/2023,13.9,16.9,10.6,2.0,5.9,N,43.0,00:02:00,14.5,79.0,7.0,N,9.0,1008.4,16.1,52.0,3.0,NW,17.0,1007.8
09/06/2023,10.3,15.6,6.2,2.2,8.1,NW,41.0,14:20:00,11.5,65.0,1.0,N,13.0,1013.4,15.1,39.0,3.0,WNW,13.0,1014.2
10/06/2023,8.2,15.5,0.0,2.0,5.9,NNW,43.0,11:15:00,10.3,76.0,1.0,N,20.0,1022.0,15.3,55.0,7.0,NNW,15.0,1020.4
11/06/2023,10.3,17.0,0.0,3.0,1.6,N,30.0,12:59:00,11.9,75.0,7.0,N,13.0,1025.0,15.4,55.0,7.0,N,15.0,1021.7
12/06/2023,10.7,15.3,0.0,2.0,2.0,NNW,33.0,11:57:00,11.8,70.0,7.0,NNE,6.0,1019.1,15.1,53.0,6.0,N,17.0,1014.7
13/06/2023,9.9,14.6,0.0,2.6,2.5,N,39.0,11:40:00,12.0,72.0,7.0,N,19.0,1008.1,13.8,65.0,7.0,N,20.0,1005.8
14/06/2023,9.4,16.2,2.2,0.8,5.5,NW,28.0,14:46:00,11.4,75.0,7.0,NW,9.0,1013.1,15.6,49.0,3.0,NW,9.0,1013.2
15/06/2023,9.7,15.6,0.0,3.0,1.1,NNW,35.0,14:04:00,12.6,75.0,7.0,N,19.0,1014.1,15.2,66.0,7.0,N,13.0,1012.9
16/06/2023,11.6,17.6,0.0,1.2,8.8,NW,46.0,15:17:00,12.5,67.0,1.0,N,17.0,1018.1,17.1,50.0,2.0,N,22.0,1015.1
17/06/2023,10.1,16.5,0.0,4.6,7.4,N,57.0,13:11:00,10.9,63.0,7.0,N,22.0,1014.2,16.2,48.0,2.0,N,28.0,1009.0
18/06/2023,7.4,14.6,7.0,3.8,8.2,N,43.0,22:07:00,8.9,76.0,1.0,N,13.0,1013.7,14.3,50.0,2.0,NNW,19.0,1011.6
19/06/2023,7.4,11.9,10.0,2.0,4.4,N,39.0,01:13:00,7.7,86.0,7.0,NW,11.0,1011.3,10.4,63.0,5.0,SW,9.0,1013.2
20/06/2023,5.0,12.1,0.2,1.4,3.2,W,24.0,00:18:00,6.3,81.0,4.0,N,7.0,1024.0,11.7,67.0,6.0,SW,4.0,1023.3
21/06/2023,4.2,11.8,0.0,0.8,5.8,N,31.0,15:45:00,6.8,86.0,6.0,NNE,9.0,1024.7,11.0,56.0,6.0,NNW,17.0,1021.6
22/06/2023,6.6,13.7,0.0,1.6,0.8,N,46.0,21:25:00,7.9,79.0,7.0,E,7.0,1016.3,13.2,49.0,7.0,NNE,11.0,1009.3
23/06/2023,7.8,11.3,2.8,2.6,0.2,N,31.0,12:48:00,10.0,75.0,8.0,N,13.0,1003.3,11.1,68.0,7.0,NNW,13.0,1004.4
24/06/2023,8.8,15.1,1.0,0.2,6.0,N,50.0,11:51:00,11.0,78.0,7.0,N,17.0,1009.0,11.5,77.0,3.0,NNW,26.0,1005.6
25/06/2023,8.5,13.2,4.0,2.8,1.4,N,50.0,13:45:00,9.1,58.0,7.0,N,24.0,1006.3,11.7,63.0,7.0,N,28.0,1004.4
26/06/2023,9.1,16.0,0.0,1.8,4.3,W,37.0,14:49:00,12.8,64.0,7.0,WNW,9.0,1011.5,15.2,55.0,5.0,WSW,13.0,1013.5
27/06/2023,6.6,14.9,0.0,2.4,3.0,N,33.0,11:36:00,8.9,81.0,7.0,N,13.0,1019.1,12.6,71.0,7.0,NNE,15.0,1017.3
28/06/2023,8.9,12.7,0.0,0.6,0.2,S,28.0,12:00:00,10.9,75.0,7.0,N,11.0,1017.0,10.9,90.0,7.0,WSW,7.0,1015.9
29/06/2023,6.2,12.9,3.6,1.0,3.5,NNW,31.0,17:07:00,8.5,75.0,5.0,WNW,9.0,1020.4,12.2,64.0,7.0,WNW,11.0,1017.8
30/06/2023,8.4,15.2,0.0,1.6,2.0,SSW,30.0,14:18:00,11.9,75.0,6.0,NNW,15.0,1019.3,15.2,62.0,5.0,WNW,11.0,1018.1
01/07/2023,9.7,13.5,0.4,2.6,4.2,SSW,33.0,12:32:00,10.9,81.0,1.0,W,11.0,1023.2,11.3,89.0,6.0,SW,9.0,1025.8
02/07/2023,9.6,12.8,0.6,0.0,0.2,S,17.0,11:02:00,10.5,88.0,6.0,SW,6.0,1033.9,11.9,83.0,7.0,SSW,9.0,1032.7
03/07/2023,8.2,14.5,0.4,1.2,0.2,N,20.0,14:58:00,8.4,90.0,7.0,NNE,7.0,1030.4,14.1,64.0,7.0,N,13.0,1024.8
04/07/2023,8.3,13.6,0.0,0.8,0.0,NE,15.0,07:48:00,10.9,82.0,7.0,NNE,9.0,1017.9,13.4,77.0,8.0,NE,9.0,1012.7
05/07/2023,10.8,14.7,2.4,0.0,3.1,NNW,31.0,14:36:00,11.6,95.0,7.0,NW,4.0,1012.2,13.7,56.0,5.0,NNW,13.0,1011.2
06/07/2023,10.0,15.2,0.0,2.8,7.3,N,50.0,10:40:00,11.8,75.0,7.0,N,15.0,1010.4,14.5,56.0,7.0,N,24.0,1006.1
07/07/2023,9.9,15.5,1.0,2.2,6.8,NNW,39.0,16:14:00,11.3,71.0,1.0,NNW,11.0,1010.0,15.0,50.0,6.0,NNW,17.0,1009.0
08/07/2023,10.5,14.9,1.2,3.8,6.8,N,52.0,01:40:00,11.6,64.0,5.0,NNW,22.0,1005.0,14.2,50.0,5.0,NW,19.0,1005.9
09/07/2023,10.9,16.9,0.2,3.4,3.5,W,39.0,12:41:00,12.9,77.0,7.0,NNW,11.0,1015.3,16.3,58.0,5.0,WNW,9.0,1015.9
10/07/2023,11.9,17.1,0.8,2.2,4.7,N,44.0,13:57:00,13.2,66.0,7.0,NNW,17.0,1021.5,15.7,56.0,7.0,NNW,19.0,1019.5
11/07/2023,11.6,17.6,0.4,3.2,4.8,N,28.0,00:19:00,12.9,84.0,7.0,NNW,9.0,1025.8,16.8,54.0,7.0,WSW,9.0,1025.3
12/07/2023,11.1,17.7,0.0,2.0,7.8,N,39.0,12:28:00,12.5,81.0,1.0,N,17.0,1028.1,16.7,45.0,7.0,NNW,20.0,1026.1
13/07/2023,9.5,15.9,0.0,3.4,4.5,N,52.0,13:06:00,11.3,69.0,7.0,N,17.0,1026.2,15.4,52.0,7.0,N,28.0,1022.1
14/07/2023,11.0,14.7,0.0,4.0,0.3,N,48.0,14:40:00,11.0,69.0,8.0,N,19.0,1020.1,14.1,57.0,7.0,N,28.0,1015.5
15/07/2023,10.1,12.5,0.0,2.4,0.4,N,35.0,03:14:00,10.8,65.0,7.0,NNW,17.0,1017.7,11.5,75.0,7.0,SSW,11.0,1019.9
16/07/2023,4.8,14.8,0.4,1.0,7.9,SSW,20.0,11:38:00,7.3,79.0,4.0,NE,9.0,1029.2,13.9,60.0,4.0,S,9.0,1028.6
17/07/2023,4.0,16.5,0.0,3.2,9.4,N,33.0,13:31:00,7.7,79.0,0.0,NNE,9.0,1029.3,16.3,49.0,0.0,N,17.0,1025.2
18/07/2023,7.6,14.6,0.0,2.8,6.1,NW,44.0,11:50:00,9.9,69.0,1.0,N,13.0,1019.7,13.6,55.0,3.0,WSW,15.0,1020.1
